2026-03-22 20:31:24,486 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:31:28,212 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:31:28,213 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:31:31,934 | INFO | grasp_system | 开始固定力抓取 force=200.00
2026-03-22 20:31:31,934 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:31:32,864 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:31:33,483 | INFO | grasp_system | 抓取前状态 - 接触点数量: 5, 总正压力: 399.2305, 平均摩擦系数: 0.333
2026-03-22 20:31:34,877 | INFO | grasp_system | 物体动力学参数 - 质量: 0.100, 侧向摩擦系数: 1.000, 自旋摩擦系数: 0.0000, 滚动摩擦系数: 0.0000
2026-03-22 20:31:34,877 | INFO | grasp_system | 抓取完成 - 接触点数量: 6, 总正压力: 399.0067, 侧向摩擦力: -27.6053, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:31:37,662 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:31:37,663 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:31:41,393 | INFO | grasp_system | 抓取任务完成
2026-03-22 20:31:41,439 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:32:49,182 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:32:49,182 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:32:50,210 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:32:50,214 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:32:50,215 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:32:53,948 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:32:53,949 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:32:57,676 | INFO | grasp_system | 开始固定力抓取 force=200.00
2026-03-22 20:32:57,676 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:32:58,606 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:32:59,227 | INFO | grasp_system | 抓取前状态 - 接触点数量: 5, 总正压力: 399.2305, 平均摩擦系数: 0.333
2026-03-22 20:33:00,627 | INFO | grasp_system | 物体动力学参数 - 质量: 0.100, 侧向摩擦系数: 1.000, 自旋摩擦系数: 0.0000, 滚动摩擦系数: 0.0000
2026-03-22 20:33:00,627 | INFO | grasp_system | 抓取完成 - 接触点数量: 6, 总正压力: 399.0067, 侧向摩擦力: -27.6053, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:33:03,416 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:33:03,418 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:33:07,143 | INFO | grasp_system | 抓取任务完成
2026-03-22 20:33:07,185 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:33:29,467 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:33:29,467 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:33:30,491 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:33:30,496 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:33:30,498 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:33:34,200 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:33:34,201 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:33:37,898 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:33:38,859 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:33:59,375 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:33:59,376 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:34:00,388 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:34:00,393 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:34:00,394 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:34:04,116 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:34:04,117 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:34:07,834 | INFO | grasp_system | 开始固定力抓取 force=1.00
2026-03-22 20:34:07,834 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:34:08,769 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 1.00
2026-03-22 20:34:09,390 | INFO | grasp_system | 抓取前状态 - 接触点数量: 2, 总正压力: 1.9999, 平均摩擦系数: 0.333
2026-03-22 20:34:10,786 | INFO | grasp_system | 物体动力学参数 - 质量: 0.100, 侧向摩擦系数: 1.000, 自旋摩擦系数: 0.0000, 滚动摩擦系数: 0.0000
2026-03-22 20:34:10,786 | INFO | grasp_system | 抓取完成 - 接触点数量: 2, 总正压力: 2.0000, 侧向摩擦力: 1.6775, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:34:13,576 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:34:13,577 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:34:17,286 | INFO | grasp_system | 抓取任务完成
2026-03-22 20:34:17,325 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:36:32,334 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:36:32,335 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:36:33,368 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:36:33,372 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:36:33,374 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:36:37,095 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:36:37,096 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:36:40,793 | INFO | grasp_system | 开始固定力抓取 force=30.00
2026-03-22 20:36:40,793 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:36:41,723 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 30.00
2026-03-22 20:36:42,339 | INFO | grasp_system | 抓取前状态 - 接触点数量: 4, 总正压力: 59.5864, 平均摩擦系数: 0.333
2026-03-22 20:36:43,732 | INFO | grasp_system | 物体动力学参数 - 质量: 0.100, 侧向摩擦系数: 1.000, 自旋摩擦系数: 0.0000, 滚动摩擦系数: 0.0000
2026-03-22 20:36:43,732 | INFO | grasp_system | 抓取完成 - 接触点数量: 4, 总正压力: 59.6269, 侧向摩擦力: -5.7338, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:36:46,515 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:36:46,516 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
